,license_config,step,warm_label,metric,count,mean,median,std,min,max
0,duolingo_p_2,0,ciepły start,time_s,36,1.681624846499795,1.0898493885033531,1.7585822057130738,0.1824530529993353,7.988557161006611
1,duolingo_p_2,0,ciepły start,total_cost,36,46.666666666666664,35.5,28.64661535729084,14.0,109.0
2,duolingo_p_2,0,ciepły start,cost_per_node,36,0.4949652777777777,0.453125,0.10561067574515942,0.35,0.68125
3,duolingo_p_2,0,zimny start,time_s,32,0.1304986402187751,0.0007891054992796853,0.40715800287563597,0.0003719730011653155,2.0187917340081185
4,duolingo_p_2,0,zimny start,total_cost,32,52.28125,39.5,33.837595406636474,14.0,144.0
5,duolingo_p_2,0,zimny start,cost_per_node,32,0.580078125,0.575,0.16152341083565525,0.35,0.925
6,duolingo_p_2,1,ciepły start,time_s,36,1.549371390137013,1.0223363669938408,1.8016557759334666,0.1993874289910309,9.366658434999408
7,duolingo_p_2,1,ciepły start,total_cost,36,46.888888888888886,36.0,28.721100036412032,14.0,110.0
8,duolingo_p_2,1,ciepły start,cost_per_node,36,0.49102839928023534,0.4582087263246683,0.1081615863896727,0.3414634146341463,0.6832298136645962
9,duolingo_p_2,1,zimny start,time_s,32,0.20498658856467955,0.0007946350015117787,0.5355467860676129,0.0003770820039790123,1.7211108549963683
10,duolingo_p_2,1,zimny start,total_cost,32,54.0,41.5,33.9990512201586,14.0,146.0
11,duolingo_p_2,1,zimny start,cost_per_node,32,0.5965711330681285,0.5853658536585367,0.17092449699800333,0.3414634146341463,0.906832298136646
12,duolingo_p_2,2,ciepły start,time_s,36,1.6815358633603965,1.143230544999824,1.7613172347360715,0.1791567009931896,8.413976101001026
13,duolingo_p_2,2,ciepły start,total_cost,36,46.388888888888886,36.0,28.533967505191097,14.0,110.0
14,duolingo_p_2,2,ciepły start,cost_per_node,36,0.4838767830205716,0.45510313626255655,0.10468006852958282,0.3414634146341463,0.6832298136645962
15,duolingo_p_2,2,zimny start,time_s,32,0.17258377203006603,0.0007387130026472732,0.4589099556451516,0.000393344002077356,1.5650296009989688
16,duolingo_p_2,2,zimny start,total_cost,32,55.15625,43.0,36.475452969837654,14.0,153.0
17,duolingo_p_2,2,zimny start,cost_per_node,32,0.6026025915452391,0.5853658536585367,0.18054848088506797,0.3414634146341463,0.9506172839506172
18,duolingo_p_2,3,ciepły start,time_s,36,1.6865491400842276,0.8916694585059304,1.8317236375039794,0.16446802800055593,8.556134323007427
19,duolingo_p_2,3,ciepły start,total_cost,36,46.666666666666664,35.0,28.866193771558155,14.0,111.0
20,duolingo_p_2,3,ciepły start,cost_per_node,36,0.4905713497601581,0.4627329192546584,0.10552456500705143,0.35,0.6894409937888198
21,duolingo_p_2,3,zimny start,time_s,32,0.15784886962546804,0.0007845639993320219,0.4434458036886606,0.0002987400075653568,1.8941570930037408
22,duolingo_p_2,3,zimny start,total_cost,32,53.46875,39.0,33.68447941153027,14.0,144.0
23,duolingo_p_2,3,zimny start,cost_per_node,32,0.5947967587800016,0.5875,0.17270227575726807,0.35,0.9506172839506172
24,duolingo_p_2,4,ciepły start,time_s,36,1.6954596647491498,0.9472248335005133,1.7883056577957057,0.17786747300124262,8.211928913995507
25,duolingo_p_2,4,ciepły start,total_cost,36,46.638888888888886,35.0,28.189311832453477,15.0,110.0
26,duolingo_p_2,4,ciepły start,cost_per_node,36,0.4906513969994381,0.46554552912223135,0.10073620918800204,0.3658536585365853,0.6918238993710691
27,duolingo_p_2,4,zimny start,time_s,32,0.1232839337490077,0.0007762109962641262,0.34698517543358176,0.0003847929910989478,1.5247282980126329
28,duolingo_p_2,4,zimny start,total_cost,32,54.5,41.5,34.87581655883,14.0,147.0
29,duolingo_p_2,4,zimny start,cost_per_node,32,0.5994057608362178,0.5609756097560976,0.16943746133172838,0.3414634146341463,0.9245283018867924
30,duolingo_p_2,5,ciepły start,time_s,36,1.691660361526576,0.970336946505995,1.910187417199126,0.15551139299350325,8.800342292001005
31,duolingo_p_2,5,ciepły start,total_cost,36,46.5,36.0,28.030085877244726,15.0,110.0
32,duolingo_p_2,5,ciepły start,cost_per_node,36,0.4896383916087006,0.46540880503144655,0.10091162588672682,0.3658536585365853,0.6918238993710691
33,duolingo_p_2,5,zimny start,time_s,32,0.11443283565540696,0.0007829484966350719,0.3195198985095215,0.0003493950061965734,1.3302071610087296
34,duolingo_p_2,5,zimny start,total_cost,32,53.59375,40.5,33.50383644378078,14.0,142.0
35,duolingo_p_2,5,zimny start,cost_per_node,32,0.5921915213648992,0.5609756097560976,0.16272298067158927,0.3414634146341463,0.926829268292683
36,duolingo_p_2,6,ciepły start,time_s,36,1.54637299238958,1.0503112750011496,1.6693695473523014,0.15354201600712258,8.074239107008907
37,duolingo_p_2,6,ciepły start,total_cost,36,46.416666666666664,36.0,27.90634848406874,15.0,110.0
38,duolingo_p_2,6,ciepły start,cost_per_node,36,0.4891101004534387,0.46540880503144655,0.10065368473718242,0.3647798742138364,0.6918238993710691
39,duolingo_p_2,6,zimny start,time_s,32,0.12191302156361417,0.0008055540019995533,0.35555491049721333,0.000344061991199851,1.6409163549978985
40,duolingo_p_2,6,zimny start,total_cost,32,53.21875,40.0,33.53547411612885,14.0,144.0
41,duolingo_p_2,6,zimny start,cost_per_node,32,0.5864395492094334,0.5609756097560976,0.15624159869449417,0.3414634146341463,0.9056603773584906
42,duolingo_p_2,7,ciepły start,time_s,36,1.6707342310000968,0.9676182960029109,1.8730782209765957,0.16321069998957682,8.691024600993842
