,license_config,algorithm,metric,count,mean,std,min,max
0,duolingo_p_2,Algorytm genetyczny,time_s,24,0.47341663045790483,0.33159894281257324,0.09993353000027128,1.225781156004814
1,duolingo_p_2,Algorytm genetyczny,total_cost,24,47.16666666666668,37.36036805826832,8.000000000000002,136.00000000000003
2,duolingo_p_2,Algorytm genetyczny,cost_per_node,24,0.5177083333333335,0.1132425174288491,0.40000000000000013,0.7500000000000002
3,duolingo_p_2,Algorytm genetyczny,license_group,24,18.375,13.4965776660475,3.0,41.0
4,duolingo_p_2,Algorytm genetyczny,license_individual,24,10.416666666666666,16.10810400055679,0.0,60.0
5,duolingo_p_2,Algorytm losowy,time_s,24,0.0006117627487280212,0.0003405424857315132,0.0002447789956931956,0.0013422330011962913
6,duolingo_p_2,Algorytm losowy,total_cost,24,71.37500000000001,51.95299924388181,15.000000000000004,177.00000000000003
7,duolingo_p_2,Algorytm losowy,cost_per_node,24,0.8052083333333334,0.10346685214479868,0.6300000000000001,1.0000000000000002
8,duolingo_p_2,Algorytm losowy,license_group,24,19.916666666666668,13.934369977385654,2.0,48.0
9,duolingo_p_2,Algorytm losowy,license_individual,24,31.541666666666668,27.03295760921193,6.0,104.0
10,duolingo_p_2,Algorytm mrówkowy,time_s,24,2.0912559568320526,2.3500254348451617,0.10328436499548845,7.721553998999298
11,duolingo_p_2,Algorytm mrówkowy,total_cost,24,45.33333333333334,34.89819562629299,8.000000000000002,126.00000000000003
12,duolingo_p_2,Algorytm mrówkowy,cost_per_node,24,0.5054166666666667,0.1111297387767096,0.3850000000000001,0.7500000000000002
13,duolingo_p_2,Algorytm mrówkowy,license_group,24,17.208333333333332,12.812966145638384,3.0,40.0
14,duolingo_p_2,Algorytm mrówkowy,license_individual,24,10.916666666666666,15.027269897746237,0.0,60.0
15,duolingo_p_2,Algorytm zachłanny,time_s,24,0.0005925546665821457,0.00031434457590262944,0.0002480270050000399,0.001252419999218546
16,duolingo_p_2,Algorytm zachłanny,total_cost,24,50.08333333333334,38.16430914812456,8.000000000000002,136.00000000000003
17,duolingo_p_2,Algorytm zachłanny,cost_per_node,24,0.5587500000000002,0.1146189338634765,0.40000000000000013,0.7500000000000002
18,duolingo_p_2,Algorytm zachłanny,license_group,24,19.041666666666668,14.308644898821822,3.0,45.0
19,duolingo_p_2,Algorytm zachłanny,license_individual,24,12.0,16.119121779939555,0.0,60.0
20,duolingo_p_2,Przeszukiwanie tabu,time_s,24,1.3598072407506454,0.960078679976667,0.01290236500062747,3.7768085720017552
21,duolingo_p_2,Przeszukiwanie tabu,total_cost,24,46.25000000000001,38.67506780298152,8.000000000000002,136.00000000000003
22,duolingo_p_2,Przeszukiwanie tabu,cost_per_node,24,0.4922916666666668,0.1196278574386515,0.36000000000000004,0.7500000000000002
23,duolingo_p_2,Przeszukiwanie tabu,license_group,24,18.916666666666668,13.946845261693529,3.0,45.0
24,duolingo_p_2,Przeszukiwanie tabu,license_individual,24,8.416666666666666,17.082705891623558,0.0,60.0
25,duolingo_p_2,Solver ILP,time_s,16,0.9521858141870325,1.1218934054444438,0.01803649299836252,3.7321125979942735
26,duolingo_p_2,Solver ILP,total_cost,16,28.625000000000007,23.798809494034224,8.000000000000002,84.00000000000001
27,duolingo_p_2,Solver ILP,cost_per_node,16,0.43593750000000014,0.10800028935146427,0.3400000000000001,0.7500000000000002
28,duolingo_p_2,Solver ILP,license_group,16,13.3125,11.175680441625616,4.0,39.0
29,duolingo_p_2,Solver ILP,license_individual,16,2.0,2.2211108331943574,0.0,6.0
30,duolingo_p_2,Wyżarzanie symulowane,time_s,24,0.32056772883333906,0.2321272104770209,0.079369893996045,0.889012734995049
31,duolingo_p_2,Wyżarzanie symulowane,total_cost,24,49.16666666666668,38.80460154993575,8.000000000000002,136.00000000000003
32,duolingo_p_2,Wyżarzanie symulowane,cost_per_node,24,0.5341666666666668,0.1146418493534905,0.36000000000000004,0.7500000000000002
33,duolingo_p_2,Wyżarzanie symulowane,license_group,24,19.583333333333332,13.95307872109598,4.0,45.0
34,duolingo_p_2,Wyżarzanie symulowane,license_individual,24,10.0,16.74099368511969,0.0,60.0
35,duolingo_p_2,Zbiór dominujący,time_s,24,0.002673965957304366,0.0030732032437483115,0.0003247619970352389,0.011923310994461644
36,duolingo_p_2,Zbiór dominujący,total_cost,24,48.37500000000001,38.16646889386137,8.000000000000002,141.00000000000003
37,duolingo_p_2,Zbiór dominujący,cost_per_node,24,0.5435416666666667,0.1279306806750086,0.3900000000000001,0.7500000000000002
38,duolingo_p_2,Zbiór dominujący,license_group,24,14.041666666666666,10.964286557279728,2.0,34.0
39,duolingo_p_2,Zbiór dominujący,license_individual,24,20.291666666666668,24.324757770216543,2.0,93.0
40,duolingo_p_4,Algorytm genetyczny,time_s,24,0.578515375374991,0.3973451831787068,0.12588711800344754,1.4071639830071945
41,duolingo_p_4,Algorytm genetyczny,total_cost,24,72.41666666666669,54.79282455931988,14.000000000000005,176.00000000000006
42,duolingo_p_4,Algorytm genetyczny,cost_per_node,24,0.7897916666666669,0.07111654804472099,0.7000000000000002,0.9500000000000003
43,duolingo_p_4,Algorytm genetyczny,license_group,24,11.375,9.788247167327542,2.0,31.0
44,duolingo_p_4,Algorytm genetyczny,license_individual,24,26.916666666666668,27.526930160444174,2.0,108.0
45,duolingo_p_4,Algorytm losowy,time_s,24,0.0009772845420836045,0.0011773507899852957,0.0004467139951884746,0.006304555005044676
46,duolingo_p_4,Algorytm losowy,total_cost,24,111.20833333333337,78.87192654615109,23.000000000000007,259.0000000000001
