license_config,license_group,license_individual,license_other,total,group_share,individual_share
duolingo_p_2,3263.0,2518.0,0.0,5781.0,0.5644352188202733,0.4355647811797267
duolingo_p_4,2362.0,4686.0,0.0,7048.0,0.33513053348467653,0.6648694665153235
duolingo_p_5,2008.0,6301.0,0.0,8309.0,0.2416656637381153,0.7583343362618847
netflix,4664.0,2170.0,0.0,6834.0,0.6824700029265438,0.31752999707345625
roman_p_3,2179.0,2912.0,0.0,5091.0,0.4280102141033196,0.5719897858966804
roman_p_4,1902.0,3755.0,0.0,5657.0,0.3362206116316069,0.6637793883683931
roman_p_5,1590.0,5021.0,0.0,6611.0,0.24050824383603087,0.7594917561639691
spotify,3560.0,1999.0,0.0,5559.0,0.640402950170894,0.35959704982910595
