,license_config,metric,count,mean,std,min,max
0,duolingo_p_2,time_s,184,0.6370064847440754,1.2099225412880057,0.0002447789956931956,7.721553998999298
1,duolingo_p_2,total_cost,184,49.15217391304349,39.533187215593195,8.000000000000002,177.00000000000003
2,duolingo_p_2,cost_per_node,184,0.5540489130434784,0.152215129608959,0.3400000000000001,1.0000000000000002
3,duolingo_p_2,license_group,184,17.733695652173914,13.152728547139375,2.0,48.0
4,duolingo_p_2,license_individual,184,13.684782608695652,19.996135882357542,0.0,104.0
5,duolingo_p_4,time_s,184,0.6766928716902523,1.4827324142904084,0.0002604740002425387,11.074854821999908
6,duolingo_p_4,total_cost,184,76.81521739130437,59.5808546188367,14.000000000000005,259.0000000000001
7,duolingo_p_4,cost_per_node,184,0.859701086956522,0.17109992222905956,0.6800000000000003,1.5200000000000005
8,duolingo_p_4,license_group,184,12.83695652173913,11.05750213783176,1.0,48.0
9,duolingo_p_4,license_individual,184,25.467391304347824,27.664836763616,0.0,132.0
10,duolingo_p_5,time_s,186,0.9378542902742738,2.7207031344888803,0.0003120809997199103,26.58864093099692
11,duolingo_p_5,total_cost,186,87.85483870967732,67.85162989319434,16.999999999999982,299.99999999999966
12,duolingo_p_5,cost_per_node,186,0.9818279569892464,0.19755229885209996,0.8399999999999991,1.819999999999998
13,duolingo_p_5,license_group,186,10.795698924731182,9.866195783512175,0.0,48.0
14,duolingo_p_5,license_individual,186,33.876344086021504,31.445547608522954,0.0,140.0
15,netflix,time_s,180,0.6233120202502808,1.430027302052674,0.0002315530000487342,8.899317556002643
16,netflix,total_cost,180,66.0100116629497,53.75658785959159,11.038034938980463,257.63103041160673
17,netflix,cost_per_node,180,0.729378887660695,0.19272322013105897,0.5519017469490232,1.4118799914486952
18,netflix,license_group,180,25.91111111111111,21.387431407773636,3.0,112.0
19,netflix,license_individual,180,12.055555555555555,16.979028215153377,0.0,68.0
20,roman_p_3,time_s,188,0.47678356631962393,1.0380833931038023,0.0002381110025453381,9.52159783100069
21,roman_p_3,total_cost,188,50.26063829787232,40.55169202133993,6.999999999999997,217.99999999999991
22,roman_p_3,cost_per_node,188,0.5850797872340423,0.1993837270323284,0.2599999999999999,1.1699999999999995
23,roman_p_3,license_group,188,11.590425531914894,9.952148282302044,1.0,48.0
24,roman_p_3,license_individual,188,15.48936170212766,18.35027265580184,0.0,108.0
25,roman_p_4,time_s,188,0.4754865186118587,1.1251079957156294,0.0002099029952660203,9.188691301998915
26,roman_p_4,total_cost,188,60.44148936170209,48.75017380377508,8.999999999999993,258.9999999999998
27,roman_p_4,cost_per_node,188,0.7014361702127654,0.23153997626728118,0.33999999999999975,1.3999999999999986
28,roman_p_4,license_group,188,10.117021276595745,9.186547224245256,1.0,48.0
29,roman_p_4,license_individual,188,19.97340425531915,20.51018620299906,0.0,108.0
30,roman_p_5,time_s,188,0.4930998225055636,1.2888710268630634,0.0002391529997112229,12.313944416004231
31,roman_p_5,total_cost,188,68.99468085106382,55.98734552785912,10.999999999999998,299.99999999999994
32,roman_p_5,cost_per_node,188,0.8001063829787232,0.2692358752777567,0.3949999999999999,1.6599999999999995
33,roman_p_5,license_group,188,8.457446808510639,8.261326554555618,0.0,48.0
34,roman_p_5,license_individual,188,26.70744680851064,23.24697778925368,0.0,108.0
35,spotify,time_s,182,0.5471199874396057,1.1103093658399967,0.0002071659982902929,7.180527664000692
36,spotify,total_cost,182,42.56239239882622,35.604585887868566,6.3580204990570115,164.33044345334534
37,spotify,cost_per_node,182,0.4794107503796364,0.15193625848773618,0.2937865128779227,0.9031757596342574
38,spotify,license_group,182,19.560439560439562,15.065022084731703,3.0,70.0
39,spotify,license_individual,182,10.983516483516484,16.28593782965659,0.0,82.0
