,source,algorithm,variant,warm_label,metric,count,mean,std,min,max
0,real,Algorytm genetyczny,pref_pref,ciepły start,time_s,930,1.1339646529978606,1.1892477865819642,0.13032659600139596,4.340493381001579
1,real,Algorytm genetyczny,pref_pref,ciepły start,total_cost,930,102.35983382907911,104.67574243172808,11.999999999999995,438.5704074338813
2,real,Algorytm genetyczny,pref_pref,ciepły start,cost_per_node,930,0.4140954898421827,0.12744879015651453,0.09657320872274136,0.6918825947105075
3,real,Algorytm genetyczny,pref_triadic,ciepły start,time_s,744,0.6146347043616085,0.5241184294511704,0.13138250300016807,2.2143408640004054
4,real,Algorytm genetyczny,pref_triadic,ciepły start,total_cost,744,61.30568973998322,50.288132336608435,11.999999999999995,221.40243030736238
5,real,Algorytm genetyczny,pref_triadic,ciepły start,cost_per_node,744,0.4090763856055937,0.11284310335860119,0.14465408805031435,0.6918825947105075
6,real,Algorytm genetyczny,rand_rewire,ciepły start,time_s,930,1.225577653374292,1.2734715848468139,0.1467617060043267,5.026243330998113
7,real,Algorytm genetyczny,rand_rewire,ciepły start,total_cost,930,104.87109917221977,106.83457632256423,11.999999999999995,448.0807719799857
8,real,Algorytm genetyczny,rand_rewire,ciepły start,cost_per_node,930,0.4249534580747602,0.12444599171331525,0.09687499999999996,0.693796367414169
9,real,Algorytm losowy,pref_pref,zimny start,time_s,930,0.0009433554591900032,0.0007266328787740537,0.0002975449988298351,0.004257548000168754
10,real,Algorytm losowy,pref_pref,zimny start,total_cost,930,180.01535121092635,166.9151229127234,24.99999999999999,618.0786275911364
11,real,Algorytm losowy,pref_pref,zimny start,cost_per_node,930,0.7539436288069911,0.16141655661587415,0.21240310077519373,0.9963562823619658
12,real,Algorytm losowy,pref_triadic,zimny start,time_s,744,0.000688431041660721,0.0004551631104702695,0.0002810429996316088,0.0026746300000013434
13,real,Algorytm losowy,pref_triadic,zimny start,total_cost,744,112.20412141545036,81.66900088002258,24.99999999999999,313.37955682630445
14,real,Algorytm losowy,pref_triadic,zimny start,cost_per_node,744,0.771117591020523,0.14188469318414257,0.3081761006289307,1.014176792947343
15,real,Algorytm losowy,rand_rewire,zimny start,time_s,930,0.0009618774170894051,0.0007750061143568896,0.0002784280004561879,0.004907279995677527
16,real,Algorytm losowy,rand_rewire,zimny start,total_cost,930,181.4995080971815,168.27434435947714,24.99999999999999,640.759113652609
17,real,Algorytm losowy,rand_rewire,zimny start,cost_per_node,930,0.7625811732158051,0.16106846668878208,0.22291021671826608,0.9944177814084891
18,real,Algorytm mrówkowy,pref_pref,ciepły start,time_s,899,6.906497809820941,10.134119321144285,0.1815183660000912,37.66614415400181
19,real,Algorytm mrówkowy,pref_pref,ciepły start,total_cost,899,92.99353900489861,88.08590588529358,12.999999999999995,334.99999999999983
20,real,Algorytm mrówkowy,pref_pref,ciepły start,cost_per_node,899,0.417230639411216,0.12846772799760872,0.09147286821705417,0.6709845011244966
21,real,Algorytm mrówkowy,pref_triadic,ciepły start,time_s,744,3.001946694600788,3.6926683603834958,0.19354987199949392,14.838438822000173
22,real,Algorytm mrówkowy,pref_triadic,ciepły start,total_cost,744,62.7992200650234,51.09046137480292,12.999999999999995,216.35882773409577
23,real,Algorytm mrówkowy,pref_triadic,ciepły start,cost_per_node,744,0.4235305872160717,0.12531237039830173,0.13207547169811315,0.67112311262895
24,real,Algorytm mrówkowy,rand_rewire,ciepły start,time_s,899,7.817265000553957,11.51283313501744,0.1937822609979776,42.42043217599712
25,real,Algorytm mrówkowy,rand_rewire,ciepły start,total_cost,899,95.01320584145196,89.32405864741118,12.999999999999995,349.99999999999983
26,real,Algorytm mrówkowy,rand_rewire,ciepły start,cost_per_node,899,0.4304610320664686,0.13128262991419995,0.09218749999999996,0.7046529834235338
27,real,Algorytm zachłanny,pref_pref,zimny start,time_s,930,0.0008349636279206763,0.0006687762252284733,0.0002639039994392078,0.003815387999566156
28,real,Algorytm zachłanny,pref_pref,zimny start,total_cost,930,110.64604671539577,108.62452125115686,14.999999999999993,453.80486061472476
29,real,Algorytm zachłanny,pref_pref,zimny start,cost_per_node,930,0.46370617220895005,0.13925783888465856,0.09968847352024916,0.7420805802053732
30,real,Algorytm zachłanny,pref_triadic,zimny start,time_s,744,0.0005347114018872637,0.0002559464297367922,0.0002572839994172682,0.001451576000363275
31,real,Algorytm zachłanny,pref_triadic,zimny start,total_cost,744,68.23461746869883,53.51005983167901,13.999999999999995,228.31736954967832
32,real,Algorytm zachłanny,pref_triadic,zimny start,cost_per_node,744,0.46786555982246314,0.13382855593778772,0.15094339622641503,0.7422362652121851
33,real,Algorytm zachłanny,rand_rewire,zimny start,time_s,930,0.0008329738764078557,0.0006429535989863471,0.0002693229980650358,0.004345112000009976
34,real,Algorytm zachłanny,rand_rewire,zimny start,total_cost,930,112.9901434972753,110.98120026521076,13.999999999999995,474.14510364546095
