,license_config,step,warm_label,metric,count,mean,std,min,max
0,duolingo_p_2,0,ciepły start,time_s,36,1.681624846499795,1.7585822057130738,0.1824530529993353,7.988557161006611
1,duolingo_p_2,0,ciepły start,total_cost,36,46.666666666666664,28.64661535729084,14.0,109.0
2,duolingo_p_2,0,ciepły start,cost_per_node,36,0.4949652777777777,0.10561067574515942,0.35,0.68125
3,duolingo_p_2,0,zimny start,time_s,32,0.1304986402187751,0.40715800287563597,0.0003719730011653155,2.0187917340081185
4,duolingo_p_2,0,zimny start,total_cost,32,52.28125,33.837595406636474,14.0,144.0
5,duolingo_p_2,0,zimny start,cost_per_node,32,0.580078125,0.16152341083565525,0.35,0.925
6,duolingo_p_2,1,ciepły start,time_s,36,1.549371390137013,1.8016557759334666,0.1993874289910309,9.366658434999408
7,duolingo_p_2,1,ciepły start,total_cost,36,46.888888888888886,28.721100036412032,14.0,110.0
8,duolingo_p_2,1,ciepły start,cost_per_node,36,0.49102839928023534,0.1081615863896727,0.3414634146341463,0.6832298136645962
9,duolingo_p_2,1,zimny start,time_s,32,0.20498658856467955,0.5355467860676129,0.0003770820039790123,1.7211108549963683
10,duolingo_p_2,1,zimny start,total_cost,32,54.0,33.9990512201586,14.0,146.0
11,duolingo_p_2,1,zimny start,cost_per_node,32,0.5965711330681285,0.17092449699800333,0.3414634146341463,0.906832298136646
12,duolingo_p_2,2,ciepły start,time_s,36,1.6815358633603965,1.7613172347360715,0.1791567009931896,8.413976101001026
13,duolingo_p_2,2,ciepły start,total_cost,36,46.388888888888886,28.533967505191097,14.0,110.0
14,duolingo_p_2,2,ciepły start,cost_per_node,36,0.4838767830205716,0.10468006852958282,0.3414634146341463,0.6832298136645962
15,duolingo_p_2,2,zimny start,time_s,32,0.17258377203006603,0.4589099556451516,0.000393344002077356,1.5650296009989688
16,duolingo_p_2,2,zimny start,total_cost,32,55.15625,36.475452969837654,14.0,153.0
17,duolingo_p_2,2,zimny start,cost_per_node,32,0.6026025915452391,0.18054848088506797,0.3414634146341463,0.9506172839506172
18,duolingo_p_2,3,ciepły start,time_s,36,1.6865491400842276,1.8317236375039794,0.16446802800055593,8.556134323007427
19,duolingo_p_2,3,ciepły start,total_cost,36,46.666666666666664,28.866193771558155,14.0,111.0
