,license_config,metric,count,mean,std,min,max
0,duolingo_p_2,time_s,1088,0.9389420099347289,1.5425649737393514,0.0002987400075653568,10.459643048001452
1,duolingo_p_2,total_cost,1088,50.220588235294116,30.933722348118962,14.0,153.0
2,duolingo_p_2,cost_per_node,1088,0.5393002813772685,0.14547101923151184,0.3414634146341463,0.9634146341463414
3,duolingo_p_2,license_group,1088,17.910845588235293,10.015367769414754,5.0,39.0
4,duolingo_p_2,license_individual,1088,14.398897058823529,17.254864217628207,0.0,88.0
5,duolingo_p_4,time_s,1073,0.9865689861696485,1.8818238960402178,0.0003068670048378408,13.32529249099025
6,duolingo_p_4,total_cost,1073,80.17241379310344,45.50937970656573,28.0,224.0
7,duolingo_p_4,cost_per_node,1073,0.8549476317206147,0.16304193769677847,0.675,1.4390243902439024
8,duolingo_p_4,license_group,1073,13.352283317800559,8.49038288838012,2.0,39.0
9,duolingo_p_4,license_individual,1073,26.763280521901212,23.49971961670943,0.0,117.0
10,duolingo_p_5,time_s,1104,0.9802763887669178,1.8340188311108139,0.0003316199872642755,13.24207444700005
11,duolingo_p_5,total_cost,1104,90.94384057971011,51.632501853114896,33.99999999999999,260.99999999999994
12,duolingo_p_5,cost_per_node,1104,0.9802413561159309,0.18492025893561342,0.8374999999999998,1.7073170731707312
13,duolingo_p_5,license_group,1104,10.894927536231885,7.8832029098612155,2.0,39.0
14,duolingo_p_5,license_individual,1104,36.469202898550726,27.637646170675254,0.0,126.0
15,netflix,time_s,1074,0.890964733328594,1.6507276754253117,0.0003382020004210062,9.748538915002428
16,netflix,total_cost,1074,66.58007674449291,39.84333317889369,21.679034923246043,212.7133963961485
17,netflix,cost_per_node,1074,0.7144836129209937,0.191356348186097,0.5419758730811511,1.4418491738176382
18,netflix,license_group,1074,26.155493482309126,16.132461719926017,6.0,93.0
19,netflix,license_individual,1074,13.02607076350093,14.416752384583022,0.0,61.0
20,roman_p_3,time_s,1136,0.7984291302112223,1.7711127229834123,0.0003427569972700439,17.068559423001716
21,roman_p_3,total_cost,1136,50.295774647887306,31.005081574675057,14.999999999999993,184.99999999999991
22,roman_p_3,cost_per_node,1136,0.5543513776138091,0.1865588987823881,0.3043478260869564,1.1951219512195115
23,roman_p_3,license_group,1136,11.351232394366198,7.389053594156081,2.0,40.0
24,roman_p_3,license_individual,1136,16.242077464788732,15.973282447765971,0.0,94.0
25,roman_p_4,time_s,1136,0.9298243995892054,2.38184695337294,0.0002830909943440929,21.760644004010828
26,roman_p_4,total_cost,1136,60.414612676056315,37.19328864462336,17.99999999999999,217.99999999999986
27,roman_p_4,cost_per_node,1136,0.6660041527576358,0.2247974941710858,0.3664596273291923,1.4390243902439015
28,roman_p_4,license_group,1136,10.07306338028169,7.454587077289775,2.0,40.0
29,roman_p_4,license_individual,1136,20.122359154929576,17.01944966879374,0.0,94.0
30,roman_p_5,time_s,1136,0.8292891360144725,1.9284263308229626,0.0003145410009892657,15.485087509994628
31,roman_p_5,total_cost,1136,69.1778169014085,43.15914695202351,21.000000000000018,257.0000000000002
32,roman_p_5,cost_per_node,1136,0.7631813279880247,0.2697159563576318,0.4285714285714288,1.707317073170733
33,roman_p_5,license_group,1136,8.432218309859154,6.846252443468594,1.0,40.0
34,roman_p_5,license_individual,1136,27.016725352112676,19.057314024108667,0.0,94.0
35,spotify,time_s,1088,0.8814529785589083,1.6264575002162898,0.0003397649998078123,18.37785550600529
36,spotify,total_cost,1088,43.32401717409249,27.698361130846873,11.632652725121424,140.40895733164274
37,spotify,cost_per_node,1088,0.46663730317494445,0.14752932071617314,0.2837232371980835,0.9160719488944191
38,spotify,license_group,1088,19.700367647058822,11.079304320458792,5.0,56.0
39,spotify,license_individual,1088,11.575367647058824,14.568867635768346,0.0,78.0
