,license_family,metric,count,mean,std,min,max
0,duolingo,time_s,3265,0.9685704631447765,1.758582611755736,0.0002987400075653568,13.32529249099025
1,duolingo,total_cost,3265,73.83369065849924,46.88140379142377,14.0,260.99999999999994
2,duolingo,cost_per_node,3265,0.7921298536375729,0.2488117411410575,0.3414634146341463,1.7073170731707312
3,netflix,time_s,1074,0.890964733328594,1.6507276754253117,0.0003382020004210062,9.748538915002428
4,netflix,total_cost,1074,66.58007674449291,39.84333317889369,21.679034923246043,212.7133963961485
5,netflix,cost_per_node,1074,0.7144836129209937,0.191356348186097,0.5419758730811511,1.4418491738176382
6,roman,time_s,3408,0.8525142219383001,2.0437671719437827,0.0002830909943440929,21.760644004010828
7,roman,total_cost,3408,59.96273474178404,38.225307479196736,14.999999999999993,257.0000000000002
8,roman,cost_per_node,3408,0.6611789527864897,0.24483895483590148,0.3043478260869564,1.707317073170733
9,spotify,time_s,1088,0.8814529785589083,1.6264575002162898,0.0003397649998078123,18.37785550600529
10,spotify,total_cost,1088,43.32401717409249,27.698361130846873,11.632652725121424,140.40895733164274
11,spotify,cost_per_node,1088,0.46663730317494445,0.14752932071617314,0.2837232371980835,0.9160719488944191
