,license_config,algorithm,warm_label,metric,count,mean,std,min,max
0,duolingo_p_2,Algorytm genetyczny,ciepły start,time_s,144,0.7162590303054862,0.37896997218280404,0.2252348059992073,1.7559166549908696
1,duolingo_p_2,Algorytm genetyczny,ciepły start,total_cost,144,44.138888888888886,25.10192122341334,14.0,107.0
2,duolingo_p_2,Algorytm genetyczny,ciepły start,cost_per_node,144,0.466981401459579,0.07956205218217001,0.3414634146341463,0.66875
3,duolingo_p_2,Algorytm losowy,zimny start,time_s,144,0.0006236087493663137,0.00017565639471724408,0.0003231699956813827,0.0010715380049077794
4,duolingo_p_2,Algorytm losowy,zimny start,total_cost,144,74.41666666666667,39.01936044466246,25.0,153.0
5,duolingo_p_2,Algorytm losowy,zimny start,cost_per_node,144,0.7993509950206789,0.0978341389606785,0.625,0.9634146341463414
6,duolingo_p_2,Algorytm mrówkowy,ciepły start,time_s,144,3.0679947465143615,2.62773106858182,0.366086442998494,10.459643048001452
7,duolingo_p_2,Algorytm mrówkowy,ciepły start,total_cost,144,46.263888888888886,26.080560000613673,14.0,104.0
8,duolingo_p_2,Algorytm mrówkowy,ciepły start,cost_per_node,144,0.4934082129339752,0.10096437234677164,0.35,0.65
9,duolingo_p_2,Algorytm zachłanny,zimny start,time_s,144,0.0006073203264046848,0.00018010177270370387,0.0002987400075653568,0.0010011160047724843
10,duolingo_p_2,Algorytm zachłanny,zimny start,total_cost,144,50.80555555555556,27.878928498682555,16.0,112.0
11,duolingo_p_2,Algorytm zachłanny,zimny start,cost_per_node,144,0.5463663967180208,0.10596226700054748,0.4,0.7045454545454546
12,duolingo_p_2,Przeszukiwanie tabu,ciepły start,time_s,144,2.3694444310552476,1.1242108691709805,0.687734253006056,5.156626572992536
13,duolingo_p_2,Przeszukiwanie tabu,ciepły start,total_cost,144,45.55555555555556,29.8499224625102,14.0,112.0
14,duolingo_p_2,Przeszukiwanie tabu,ciepły start,cost_per_node,144,0.46576281753237464,0.11106035131453124,0.3414634146341463,0.6918238993710691
15,duolingo_p_2,Solver ILP,zimny start,time_s,80,0.8063109714754318,0.5305455554261781,0.07690679599181749,2.0187917340081185
16,duolingo_p_2,Solver ILP,zimny start,total_cost,80,31.4875,20.17643301892306,14.0,70.0
17,duolingo_p_2,Solver ILP,zimny start,cost_per_node,80,0.4266088534345789,0.04764609562950553,0.3414634146341463,0.4878048780487805
18,duolingo_p_2,Wyżarzanie symulowane,ciepły start,time_s,144,0.48747491018012723,0.27512020376657503,0.13429826700303238,1.20774231699761
19,duolingo_p_2,Wyżarzanie symulowane,ciepły start,total_cost,144,50.47222222222222,29.459927611712402,15.0,113.0
20,duolingo_p_2,Wyżarzanie symulowane,ciepły start,cost_per_node,144,0.5283049330556726,0.09974263124473223,0.3658536585365853,0.6975308641975309
21,duolingo_p_2,Zbiór dominujący,zimny start,time_s,144,0.003873932667273847,0.004230116425934205,0.0004930949944537133,0.015560849002213216
22,duolingo_p_2,Zbiór dominujący,zimny start,total_cost,144,50.298611111111114,28.612697035126413,16.0,115.0
23,duolingo_p_2,Zbiór dominujący,zimny start,cost_per_node,144,0.5375335617776287,0.10856733109436656,0.3902439024390244,0.7169811320754716
24,duolingo_p_4,Algorytm genetyczny,ciepły start,time_s,144,0.7747935362774823,0.40232185832871237,0.2291668260004372,1.872759382007644
25,duolingo_p_4,Algorytm genetyczny,ciepły start,total_cost,144,72.47916666666667,38.3568027627671,28.0,142.0
26,duolingo_p_4,Algorytm genetyczny,ciepły start,cost_per_node,144,0.7694496637164496,0.05829656562079209,0.6829268292682927,0.8875
27,duolingo_p_4,Algorytm losowy,zimny start,time_s,144,0.0006254924997443191,0.0003715272015826483,0.0003068670048378408,0.004454658002941869
28,duolingo_p_4,Algorytm losowy,zimny start,total_cost,144,114.18055555555556,58.880898249858404,40.0,224.0
29,duolingo_p_4,Algorytm losowy,zimny start,cost_per_node,144,1.2236448560895505,0.10754305651948638,0.975609756097561,1.4390243902439024
30,duolingo_p_4,Algorytm mrówkowy,ciepły start,time_s,144,3.789021644444498,3.4898914560233902,0.41025859900400974,13.32529249099025
31,duolingo_p_4,Algorytm mrówkowy,ciepły start,total_cost,144,75.28472222222223,40.36661765495495,28.0,145.0
32,duolingo_p_4,Algorytm mrówkowy,ciepły start,cost_per_node,144,0.7941556287204127,0.060042973586301215,0.7,0.8950617283950617
33,duolingo_p_4,Algorytm zachłanny,zimny start,time_s,144,0.000710221166728944,0.0005835316483276637,0.0003658019995782524,0.007276345990248956
34,duolingo_p_4,Algorytm zachłanny,zimny start,total_cost,144,77.61111111111111,41.397292420348215,30.0,149.0
35,duolingo_p_4,Algorytm zachłanny,zimny start,cost_per_node,144,0.8210876098099542,0.06118991147974604,0.7317073170731707,0.9197530864197532
36,duolingo_p_4,Przeszukiwanie tabu,ciepły start,time_s,144,1.9844728336394029,1.3499282900930378,0.11783975099388044,6.701980014011497
37,duolingo_p_4,Przeszukiwanie tabu,ciepły start,total_cost,144,75.13194444444444,42.09600192430248,28.0,148.0
38,duolingo_p_4,Przeszukiwanie tabu,ciepły start,cost_per_node,144,0.7852750337598047,0.08089593941403204,0.6829268292682927,0.9135802469135802
39,duolingo_p_4,Solver ILP,zimny start,time_s,65,0.48656496958350404,0.4701513241923574,0.07857637299457565,2.535913935993449
40,duolingo_p_4,Solver ILP,zimny start,total_cost,65,62.323076923076925,37.17740732467254,28.0,124.0
41,duolingo_p_4,Solver ILP,zimny start,cost_per_node,65,0.7634690856301051,0.02742313827616084,0.675,0.8024691358024691
