,source,algorithm,metric,count,mean,median,std,min,max
0,benchmark_roman_domination,Algorytm genetyczny,time_s,54,0.3591338901851318,0.3481393309998566,0.2066044416005651,0.10458544399989478,0.7153241609994438
1,benchmark_roman_domination,Algorytm genetyczny,total_cost,54,38.907407407407334,35.999999999999936,28.09301834876581,4.999999999999991,98.99999999999983
2,benchmark_roman_domination,Algorytm genetyczny,cost_per_node,54,0.3989814814814807,0.3599999999999993,0.14502563088246873,0.19499999999999967,0.7499999999999987
3,benchmark_roman_domination,Algorytm losowy,time_s,54,0.0018138535925673852,0.0005072769997696014,0.006599558909896767,0.000265297000623832,0.035264152999843645
4,benchmark_roman_domination,Algorytm losowy,total_cost,54,76.53703703703688,71.99999999999987,54.459509959395156,11.999999999999979,183.9999999999997
5,benchmark_roman_domination,Algorytm losowy,cost_per_node,54,0.760833333333332,0.7524999999999986,0.15626764051363298,0.3949999999999993,0.9999999999999982
6,benchmark_roman_domination,Algorytm mrówkowy,time_s,54,1.255112136444428,0.9239116479998302,1.1847610203236654,0.06588442800057237,3.688348421999762
7,benchmark_roman_domination,Algorytm mrówkowy,total_cost,54,37.94444444444437,35.499999999999936,27.770227485405883,4.999999999999991,92.99999999999983
8,benchmark_roman_domination,Algorytm mrówkowy,cost_per_node,54,0.39194444444444393,0.3599999999999993,0.14529221260626837,0.18499999999999966,0.7499999999999987
9,benchmark_roman_domination,Algorytm zachłanny,time_s,54,0.00042584109254911945,0.0003924084999198385,0.00017328580906486027,0.000218166999729874,0.000957451999965997
10,benchmark_roman_domination,Algorytm zachłanny,total_cost,54,41.66666666666659,39.99999999999993,30.2467837055165,4.999999999999991,99.99999999999983
11,benchmark_roman_domination,Algorytm zachłanny,cost_per_node,54,0.422777777777777,0.4249999999999992,0.14098931669237771,0.19999999999999965,0.7499999999999987
12,benchmark_roman_domination,Przeszukiwanie tabu,time_s,54,0.942704501574065,0.6851954870003283,0.660088709546738,0.003248465999604377,2.444484736999584
13,benchmark_roman_domination,Przeszukiwanie tabu,total_cost,54,39.9629629629629,35.499999999999936,30.565712053203566,4.999999999999991,99.99999999999983
14,benchmark_roman_domination,Przeszukiwanie tabu,cost_per_node,54,0.39620370370370306,0.3649999999999993,0.14298349022383575,0.18999999999999967,0.7499999999999987
15,benchmark_roman_domination,Solver ILP,time_s,42,2.059534120928588,0.33278653399997893,3.5789297080743845,0.014812277000146423,13.938711306000188
16,benchmark_roman_domination,Solver ILP,total_cost,42,30.619047619047564,29.999999999999947,22.300554932340997,4.999999999999991,66.99999999999989
17,benchmark_roman_domination,Solver ILP,cost_per_node,42,0.37261904761904696,0.30999999999999944,0.1466755091833423,0.24999999999999956,0.7499999999999987
18,benchmark_roman_domination,Wyżarzanie symulowane,time_s,54,0.3094300318889172,0.2724931074999404,0.2197115269645711,0.05869904900009715,0.7782692459995815
19,benchmark_roman_domination,Wyżarzanie symulowane,total_cost,54,41.44444444444437,38.49999999999993,30.34124577153269,4.999999999999991,99.99999999999983
20,benchmark_roman_domination,Wyżarzanie symulowane,cost_per_node,54,0.4175925925925918,0.4174999999999992,0.14339791826579246,0.19999999999999965,0.7499999999999987
21,benchmark_roman_domination,Zbiór dominujący,time_s,54,0.0024802458148466635,0.0015088804998413252,0.0023297110818861775,0.0002929319998656865,0.007976574000167602
22,benchmark_roman_domination,Zbiór dominujący,total_cost,54,38.25925925925918,33.99999999999994,28.02369966362711,4.999999999999991,102.99999999999982
23,benchmark_roman_domination,Zbiór dominujący,cost_per_node,54,0.39888888888888835,0.3399999999999994,0.14836424665509718,0.19999999999999965,0.7499999999999987
24,roman_p_3,Algorytm genetyczny,time_s,24,0.33860948029117327,0.2756282914997428,0.20608980884765604,0.11448061400005828,0.808515223005088
25,roman_p_3,Algorytm genetyczny,total_cost,24,45.41666666666665,38.999999999999986,33.726414195593826,6.999999999999997,118.99999999999994
26,roman_p_3,Algorytm genetyczny,cost_per_node,24,0.5256249999999998,0.5099999999999998,0.13174673083973093,0.2799999999999999,0.8499999999999996
27,roman_p_3,Algorytm losowy,time_s,24,0.00048234741704315337,0.0004225750017212704,0.00020170855517642823,0.0002578570056357421,0.0009550269969622605
28,roman_p_3,Algorytm losowy,total_cost,24,84.99999999999996,67.99999999999997,61.99088292013099,14.999999999999993,217.99999999999991
29,roman_p_3,Algorytm losowy,cost_per_node,24,0.9685416666666663,1.0099999999999996,0.15962237479824648,0.5449999999999998,1.1699999999999995
30,roman_p_3,Algorytm mrówkowy,time_s,24,1.0882350880010563,0.6557977880001999,1.171406088632286,0.08633095300319837,3.551095663002343
31,roman_p_3,Algorytm mrówkowy,total_cost,24,45.24999999999998,36.999999999999986,34.032273685046555,6.999999999999997,116.99999999999994
32,roman_p_3,Algorytm mrówkowy,cost_per_node,24,0.5243749999999997,0.5349999999999998,0.13040332501095603,0.2599999999999999,0.8499999999999996
33,roman_p_3,Algorytm zachłanny,time_s,24,0.00042625625064829364,0.00036051300048711704,0.0001968951260833248,0.0002381110025453381,0.0010514229943510145
34,roman_p_3,Algorytm zachłanny,total_cost,24,48.583333333333314,39.999999999999986,36.223841136282964,6.999999999999997,125.99999999999994
35,roman_p_3,Algorytm zachłanny,cost_per_node,24,0.5624999999999998,0.5974999999999997,0.13521319719484542,0.2799999999999999,0.8499999999999996
36,roman_p_3,Przeszukiwanie tabu,time_s,24,0.7948780724182143,0.6844475399993826,0.592993256874402,0.0070503829992958345,1.8860897539998405
