run_id,algorithm,graph,n_nodes,n_edges,graph_params,license_config,rep,seed,sample,graph_seed,density,avg_degree,clustering,components,image_path,total_cost,time_ms,valid,issues,groups,group_size_mean,group_size_median,group_size_p90,license_counts_json,algo_params_json,warm_start,cost_per_node,notes
20250918_154325_extensions_benchmark,ILPSolver,random,20,23,"{'p': 0.1, 'seed': 42}",spotify,0,12345,0,42,0.1210526315789473,2.3,0.0866666666666666,3,,247.92,43.66429099900415,True,0,8,2.5,2.0,4.0,"{""Family"": 3, ""Duo"": 2, ""Individual"": 3}","{""last_status"": ""Optimal"", ""last_objective"": 247.92000000000004}",False,12.396,
20250918_154325_extensions_benchmark,ILPSolver,random,20,17,"{'p': 0.1, 'seed': 1051}",spotify,0,13345,1,1051,0.0894736842105263,1.7,0.0,4,,271.91,22.70947099896148,True,0,9,2.2222222222222223,2.0,4.0,"{""Family"": 2, ""Duo"": 4, ""Individual"": 3}","{""last_status"": ""Optimal"", ""last_objective"": 271.91}",False,13.595499999999998,
20250918_154325_extensions_benchmark,ILPSolver,random,50,120,"{'p': 0.1, 'seed': 42}",spotify,0,12345,0,42,0.0979591836734693,4.8,0.0621904761904761,1,,389.89,2018.1871989989304,True,0,11,4.545454545454546,6.0,6.0,"{""Family"": 8, ""Duo"": 2, ""Individual"": 1}","{""last_status"": ""Optimal"", ""last_objective"": 389.89000000000004}",False,7.7978,
20250918_154325_extensions_benchmark,ILPSolver,random,50,117,"{'p': 0.1, 'seed': 1051}",spotify,0,13345,1,1051,0.0955102040816326,4.68,0.0838528138528138,2,,382.89,1573.6092610022752,True,0,11,4.545454545454546,6.0,6.0,"{""Individual"": 2, ""Family"": 8, ""Duo"": 1}","{""last_status"": ""Optimal"", ""last_objective"": 382.89000000000004}",False,7.6578,
20250918_154325_extensions_benchmark,ILPSolver,small_world,20,60,"{'k': 6, 'p': 0.05, 'seed': 42}",spotify,0,12345,0,42,0.3157894736842105,6.0,0.4769047619047619,1,,144.96,997.710685005586,True,0,4,5.0,6.0,6.0,"{""Family"": 3, ""Duo"": 1}","{""last_status"": ""Optimal"", ""last_objective"": 144.96}",False,7.248,
20250918_154325_extensions_benchmark,ILPSolver,small_world,20,60,"{'k': 6, 'p': 0.05, 'seed': 1051}",spotify,0,13345,1,1051,0.3157894736842105,6.0,0.505,1,,144.96,949.6345419975114,True,0,4,5.0,6.0,6.0,"{""Duo"": 1, ""Family"": 3}","{""last_status"": ""Optimal"", ""last_objective"": 144.96}",False,7.248,
20250918_154325_extensions_benchmark,ILPSolver,scale_free,20,36,"{'m': 2, 'seed': 42}",spotify,0,12345,0,42,0.1894736842105263,3.6,0.4093894993894993,1,,144.96,33.61644899996463,True,0,4,5.0,6.0,6.0,"{""Family"": 3, ""Duo"": 1}","{""last_status"": ""Optimal"", ""last_objective"": 144.96}",False,7.248,
20250918_154325_extensions_benchmark,ILPSolver,scale_free,20,36,"{'m': 2, 'seed': 1051}",spotify,0,13345,1,1051,0.1894736842105263,3.6,0.2195238095238095,1,,144.96,57.695803996466566,True,0,4,5.0,6.0,6.0,"{""Family"": 3, ""Duo"": 1}","{""last_status"": ""Optimal"", ""last_objective"": 144.96}",False,7.248,
20250918_154325_extensions_benchmark,ILPSolver,scale_free,50,96,"{'m': 2, 'seed': 42}",spotify,0,12345,0,42,0.0783673469387755,3.84,0.2608806121414816,1,,403.89,174.0139379980974,True,0,11,4.545454545454546,5.0,6.0,"{""Family"": 9, ""Duo"": 2}","{""last_status"": ""Optimal"", ""last_objective"": 403.89000000000004}",False,8.0778,
20250918_154325_extensions_benchmark,ILPSolver,scale_free,50,96,"{'m': 2, 'seed': 1051}",spotify,0,13345,1,1051,0.0783673469387755,3.84,0.1844320124320124,1,,379.9,211.4616230028332,True,0,10,5.0,5.5,6.0,"{""Family"": 10}","{""last_status"": ""Optimal"", ""last_objective"": 379.90000000000003}",False,7.598000000000001,
20250918_154325_extensions_benchmark,ILPSolver,scale_free,100,196,"{'m': 2, 'seed': 42}",spotify,0,12345,0,42,0.0395959595959595,3.92,0.1633878606773343,1,,845.77,354.58977600501385,True,0,23,4.3478260869565215,4.0,6.0,"{""Family"": 19, ""Duo"": 4}","{""last_status"": ""Optimal"", ""last_objective"": 845.7700000000001}",False,8.457699999999999,
20250918_154325_extensions_benchmark,ILPSolver,scale_free,100,196,"{'m': 2, 'seed': 1051}",spotify,0,13345,1,1051,0.0395959595959595,3.92,0.1103275874452345,1,,786.78,241.7513309992501,True,0,22,4.545454545454546,5.5,6.0,"{""Family"": 17, ""Duo"": 3, ""Individual"": 2}","{""last_status"": ""Optimal"", ""last_objective"": 786.7800000000001}",False,7.8678,
20250918_154325_extensions_benchmark,ILPSolver,scale_free,200,396,"{'m': 2, 'seed': 42}",spotify,0,12345,0,42,0.0198994974874371,3.96,0.1223573583279465,1,,1584.5700000000002,1099.347493996902,True,0,43,4.651162790697675,5.0,6.0,"{""Family"": 37, ""Duo"": 5, ""Individual"": 1}","{""last_status"": ""Optimal"", ""last_objective"": 1584.5700000000002}",False,7.92285,
20250918_154325_extensions_benchmark,ILPSolver,scale_free,200,396,"{'m': 2, 'seed': 1051}",spotify,0,13345,1,1051,0.0198994974874371,3.96,0.103976732429364,1,,1491.6,816.8471780008986,True,0,40,5.0,6.0,6.0,"{""Family"": 36, ""Duo"": 4}","{""last_status"": ""Optimal"", ""last_objective"": 1491.6000000000001}",False,7.458000000000001,
20250918_154325_extensions_benchmark,GreedyAlgorithm,random,20,23,"{'p': 0.1, 'seed': 42}",spotify,0,12345,0,42,0.1210526315789473,2.3,0.0866666666666666,3,,281.9,0.2338799968129024,True,0,10,2.0,1.0,4.0,"{""Family"": 2, ""Duo"": 2, ""Individual"": 6}",{},False,14.095,
20250918_154325_extensions_benchmark,GreedyAlgorithm,random,20,17,"{'p': 0.1, 'seed': 1051}",spotify,0,13345,1,1051,0.0894736842105263,1.7,0.0,4,,271.91,0.2212829931522719,True,0,9,2.2222222222222223,2.0,4.0,"{""Family"": 2, ""Duo"": 4, ""Individual"": 3}",{},False,13.595499999999998,
20250918_154325_extensions_benchmark,GreedyAlgorithm,random,50,120,"{'p': 0.1, 'seed': 42}",spotify,0,12345,0,42,0.0979591836734693,4.8,0.0621904761904761,1,,550.8199999999999,0.3060349990846589,True,0,18,2.7777777777777777,2.0,6.0,"{""Family"": 6, ""Individual"": 7, ""Duo"": 5}",{},False,11.0164,
20250918_154325_extensions_benchmark,GreedyAlgorithm,random,50,117,"{'p': 0.1, 'seed': 1051}",spotify,0,13345,1,1051,0.0955102040816326,4.68,0.0838528138528138,2,,574.81,0.2900239996961318,True,0,19,2.631578947368421,2.0,6.0,"{""Family"": 7, ""Individual"": 9, ""Duo"": 3}",{},False,11.496199999999998,
20250918_154325_extensions_benchmark,GreedyAlgorithm,random,100,474,"{'p': 0.1, 'seed': 42}",spotify,0,12345,0,42,0.0957575757575757,9.48,0.087823482073482,1,,920.73,0.3877600029227324,True,0,27,3.703703703703704,4.0,6.0,"{""Family"": 18, ""Individual"": 6, ""Duo"": 3}",{},False,9.2073,
20250918_154325_extensions_benchmark,GreedyAlgorithm,random,100,448,"{'p': 0.1, 'seed': 1051}",spotify,0,13345,1,1051,0.0905050505050505,8.96,0.1003813017048311,1,,892.73,0.4108299981453456,True,0,27,3.703703703703704,4.0,6.0,"{""Family"": 15, ""Individual"": 7, ""Duo"": 5}",{},False,8.9273,
20250918_154325_extensions_benchmark,GreedyAlgorithm,random,200,1963,"{'p': 0.1, 'seed': 42}",spotify,0,12345,0,42,0.098643216080402,19.63,0.1002832679199191,1,,1679.51,0.7267740002134815,True,0,49,4.081632653061225,5.0,6.0,"{""Family"": 32, ""Duo"": 8, ""Individual"": 9}",{},False,8.39755,
20250918_154325_extensions_benchmark,GreedyAlgorithm,random,200,1923,"{'p': 0.1, 'seed': 1051}",spotify,0,13345,1,1051,0.0966331658291457,19.23,0.0954730847614731,1,,1614.54,0.6866140029160306,True,0,46,4.3478260869565215,6.0,6.0,"{""Family"": 34, ""Duo"": 5, ""Individual"": 7}",{},False,8.0727,
20250918_154325_extensions_benchmark,GreedyAlgorithm,small_world,20,60,"{'k': 6, 'p': 0.05, 'seed': 42}",spotify,0,12345,0,42,0.3157894736842105,6.0,0.4769047619047619,1,,151.96,0.2071659982902929,True,0,4,5.0,5.5,6.0,"{""Family"": 4}",{},False,7.598000000000001,
20250918_154325_extensions_benchmark,GreedyAlgorithm,small_world,20,60,"{'k': 6, 'p': 0.05, 'seed': 1051}",spotify,0,13345,1,1051,0.3157894736842105,6.0,0.505,1,,185.94,0.2201280003646388,True,0,6,3.333333333333333,3.0,6.0,"{""Family"": 3, ""Individual"": 3}",{},False,9.297,
20250918_154325_extensions_benchmark,GreedyAlgorithm,small_world,50,150,"{'k': 6, 'p': 0.05, 'seed': 42}",spotify,0,12345,0,42,0.1224489795918367,6.0,0.5492380952380952,1,,427.88,0.2684030041564256,True,0,12,4.166666666666667,4.5,6.0,"{""Family"": 10, ""Individual"": 2}",{},False,8.5576,
20250918_154325_extensions_benchmark,GreedyAlgorithm,small_world,50,150,"{'k': 6, 'p': 0.05, 'seed': 1051}",spotify,0,13345,1,1051,0.1224489795918367,6.0,0.5627619047619047,1,,465.87,0.2835350023815408,True,0,13,3.8461538461538463,4.0,5.0,"{""Family"": 11, ""Individual"": 2}",{},False,9.3174,
20250918_154325_extensions_benchmark,GreedyAlgorithm,small_world,100,300,"{'k': 6, 'p': 0.05, 'seed': 42}",spotify,0,12345,0,42,0.0606060606060606,6.0,0.5448571428571429,1,,893.75,0.3462259992375038,True,0,25,4.0,4.0,6.0,"{""Family"": 19, ""Duo"": 4, ""Individual"": 2}",{},False,8.9375,
20250918_154325_extensions_benchmark,GreedyAlgorithm,small_world,100,300,"{'k': 6, 'p': 0.05, 'seed': 1051}",spotify,0,13345,1,1051,0.0606060606060606,6.0,0.5299761904761905,1,,876.76,0.3557810050551779,True,0,24,4.166666666666667,4.0,6.0,"{""Family"": 21, ""Individual"": 2, ""Duo"": 1}",{},False,8.7676,
20250918_154325_extensions_benchmark,GreedyAlgorithm,small_world,200,600,"{'k': 6, 'p': 0.05, 'seed': 42}",spotify,0,12345,0,42,0.0301507537688442,6.0,0.5332261904761905,1,,1784.51,0.4917629994451999,True,0,49,4.081632653061225,4.0,6.0,"{""Family"": 42, ""Individual"": 4, ""Duo"": 3}",{},False,8.92255,
20250918_154325_extensions_benchmark,GreedyAlgorithm,small_world,200,600,"{'k': 6, 'p': 0.05, 'seed': 1051}",spotify,0,13345,1,1051,0.0301507537688442,6.0,0.5270595238095238,1,,1790.49,0.5344929959392175,True,0,51,3.92156862745098,4.0,6.0,"{""Family"": 37, ""Individual"": 7, ""Duo"": 7}",{},False,8.95245,
20250918_154325_extensions_benchmark,GreedyAlgorithm,scale_free,20,36,"{'m': 2, 'seed': 42}",spotify,0,12345,0,42,0.1894736842105263,3.6,0.4093894993894993,1,,233.92,0.3585060039767995,True,0,8,2.5,1.0,6.0,"{""Family"": 3, ""Individual"": 5}",{},False,11.696,
20250918_154325_extensions_benchmark,GreedyAlgorithm,scale_free,20,36,"{'m': 2, 'seed': 1051}",spotify,0,13345,1,1051,0.1894736842105263,3.6,0.2195238095238095,1,,264.91,0.2196119967265986,True,0,9,2.2222222222222223,1.0,4.0,"{""Family"": 3, ""Duo"": 1, ""Individual"": 5}",{},False,13.245499999999998,
20250918_154325_extensions_benchmark,GreedyAlgorithm,scale_free,50,96,"{'m': 2, 'seed': 42}",spotify,0,12345,0,42,0.0783673469387755,3.84,0.2608806121414816,1,,745.73,0.3070530001423321,True,0,27,1.851851851851852,1.0,3.0,"{""Family"": 5, ""Duo"": 4, ""Individual"": 18}",{},False,14.9146,
20250918_154325_extensions_benchmark,GreedyAlgorithm,scale_free,50,96,"{'m': 2, 'seed': 1051}",spotify,0,13345,1,1051,0.0783673469387755,3.84,0.1844320124320124,1,,718.75,0.2926719971583225,True,0,25,2.0,1.0,4.0,"{""Family"": 6, ""Duo"": 5, ""Individual"": 14}",{},False,14.375,
20250918_154325_extensions_benchmark,GreedyAlgorithm,scale_free,100,196,"{'m': 2, 'seed': 42}",spotify,0,12345,0,42,0.0395959595959595,3.92,0.1633878606773343,1,,1365.53,0.6753389970981516,True,0,47,2.127659574468085,1.0,4.0,"{""Family"": 13, ""Duo"": 8, ""Individual"": 26}",{},False,13.6553,
20250918_154325_extensions_benchmark,GreedyAlgorithm,scale_free,100,196,"{'m': 2, 'seed': 1051}",spotify,0,13345,1,1051,0.0395959595959595,3.92,0.1103275874452345,1,,1303.55,0.4175180001766421,True,0,45,2.2222222222222223,1.0,6.0,"{""Family"": 12, ""Individual"": 25, ""Duo"": 8}",{},False,13.0355,
20250918_154325_extensions_benchmark,GreedyAlgorithm,scale_free,200,396,"{'m': 2, 'seed': 42}",spotify,0,12345,0,42,0.0198994974874371,3.96,0.1223573583279465,1,,2792.02,0.6038089995854534,True,0,98,2.0408163265306123,1.0,5.0,"{""Family"": 25, ""Duo"": 13, ""Individual"": 60}",{},False,13.9601,
20250918_154325_extensions_benchmark,GreedyAlgorithm,scale_free,200,396,"{'m': 2, 'seed': 1051}",spotify,0,13345,1,1051,0.0198994974874371,3.96,0.103976732429364,1,,2761.03,0.603933003731072,True,0,97,2.061855670103093,1.0,6.0,"{""Family"": 24, ""Duo"": 14, ""Individual"": 59}",{},False,13.80515,
20250918_154325_extensions_benchmark,RandomizedAlgorithm,random,20,23,"{'p': 0.1, 'seed': 42}",spotify,0,12345,0,42,0.1210526315789473,2.3,0.0866666666666666,3,,411.84,0.2392660026089288,True,0,16,1.25,1.0,2.0,"{""Individual"": 12, ""Duo"": 4}",{},False,20.592,
20250918_154325_extensions_benchmark,RandomizedAlgorithm,random,20,17,"{'p': 0.1, 'seed': 1051}",spotify,0,13345,1,1051,0.0894736842105263,1.7,0.0,4,,364.88,0.2341190047445707,True,0,12,1.6666666666666667,1.5,2.0,"{""Duo"": 1, ""Family"": 5, ""Individual"": 6}",{},False,18.244,
