run_id,algorithm,graph,n_nodes,n_edges,graph_params,license_config,rep,seed,ego_id,density,avg_degree,clustering,components,total_cost,cost_per_node,time_ms,license_counts_json,algo_params_json,warm_start,valid,issues,groups,group_size_mean,group_size_median,group_size_p90,image_path,notes,step,mutation_params_json,mutations
20250910_205835_dynamic_real,ILPSolver,facebook_ego,52,201,"{""ego_id"": ""3980""}",duolingo_super,0,16345,3980,0.1515837104072398,7.730769230769231,0.7189311006529392,1,276.52000000000004,5.317692307692308,249.89286804338917,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.2,6.0,6.0,,,4,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",Removed nodes: [4028]; Added 5 edges
20250910_205835_dynamic_real,ILPSolver,facebook_ego,52,199,"{""ego_id"": ""3980""}",duolingo_super,0,17345,3980,0.15007541478129713,7.653846153846154,0.7190025762388229,1,276.52000000000004,5.317692307692308,219.77522497763857,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.2,6.0,6.0,,,5,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",Removed 2 edges
20250910_205835_dynamic_real,ILPSolver,facebook_ego,52,199,"{""ego_id"": ""3980""}",duolingo_super,0,18345,3980,0.15007541478129713,7.653846153846154,0.7190025762388229,1,276.52000000000004,5.317692307692308,230.3890049806796,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.2,6.0,6.0,,,6,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
20250910_205835_dynamic_real,ILPSolver,facebook_ego,52,199,"{""ego_id"": ""3980""}",duolingo_super,0,19345,3980,0.15007541478129713,7.653846153846154,0.7190025762388229,1,276.52000000000004,5.317692307692308,210.886679997202,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.2,6.0,6.0,,,7,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
20250910_205835_dynamic_real,ILPSolver,facebook_ego,52,199,"{""ego_id"": ""3980""}",duolingo_super,0,20345,3980,0.15007541478129713,7.653846153846154,0.7190025762388229,1,276.52000000000004,5.317692307692308,224.53204600606114,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.2,6.0,6.0,,,8,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
20250910_205835_dynamic_real,ILPSolver,facebook_ego,52,199,"{""ego_id"": ""3980""}",duolingo_super,0,21345,3980,0.15007541478129713,7.653846153846154,0.7190025762388229,1,276.52000000000004,5.317692307692308,230.33187998225912,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.2,6.0,6.0,,,9,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
20250910_205835_dynamic_real,ILPSolver,facebook_ego,53,202,"{""ego_id"": ""3980""}",duolingo_super,0,22345,3980,0.14658925979680695,7.622641509433962,0.7004050433538137,1,276.52000000000004,5.217358490566038,319.05091600492597,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.3,6.0,6.0,,,10,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",Added nodes: [4039]
20250910_205835_dynamic_real,ILPSolver,facebook_ego,53,202,"{""ego_id"": ""3980""}",duolingo_super,0,23345,3980,0.14658925979680695,7.622641509433962,0.7004050433538137,1,276.52000000000004,5.217358490566038,297.01429401757196,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.3,6.0,6.0,,,11,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
20250910_205835_dynamic_real,ILPSolver,facebook_ego,54,205,"{""ego_id"": ""3980""}",duolingo_super,0,24345,3980,0.143256464011181,7.592592592592593,0.7022534378055534,1,290.51,5.379814814814814,17388.3808949613,"{""Family"": 9, ""Individual"": 2}",{},False,True,0,11,4.909090909090909,6.0,6.0,,,12,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",Added nodes: [4040]
20250910_205835_dynamic_real,ILPSolver,facebook_ego,54,205,"{""ego_id"": ""3980""}",duolingo_super,0,25345,3980,0.143256464011181,7.592592592592593,0.7022534378055534,1,290.51,5.379814814814814,17269.17293603765,"{""Family"": 9, ""Individual"": 2}",{},False,True,0,11,4.909090909090909,6.0,6.0,,,13,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
